Biomarker,Preferred Term,HGNC_ID,Biomolecule,Tissue,Cell,Context,Organism,Senescence Hallmark,Citation,Experimental Evidence
CSF1,colony stimulating factor 1,HGNC:2432,mRNA,Skeleton,"N/A, Osteocytes",Aging,"Human, Mouse",SASP/Inflammation,"27341653, 35974106","rt-qPCR, Bulk RNA-seq, scRNA-seq"
CSF2,colony stimulating factor 2,HGNC:2434,mRNA,Skeleton,"N/A, Osteocytes",Aging,"Human, Mouse",SASP/Inflammation,"27341653, 35974106","rt-qPCR, Bulk RNA-seq, scRNA-seq"
CSF2RB,colony stimulating factor 2 receptor subunit beta,HGNC:2436,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CSF3,colony stimulating factor 3,HGNC:2438,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,27341653,rt-qPCR
CST4,cystatin S,HGNC:2476,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CST5,cystatin D,HGNC:2477,mRNA,Skeleton,,Aging,Mouse,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CTNNB1,catenin beta 1,HGNC:2514,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CTSB,cathepsin B,HGNC:2527,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR, CyTOF"
CXCL10,C-X-C motif chemokine ligand 10,HGNC:10637,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CXCL12,C-X-C motif chemokine ligand 12,HGNC:10672,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CXCL12,C-X-C motif chemokine ligand 12,HGNC:10672,mRNA,Skeleton,Osteocytes,Aging,Mouse,SASP/Inflammation,"28878136, 28401730",rt-qPCR
CXCL13,C-X-C motif chemokine ligand 13,HGNC:10639,mRNA,Skeleton,Osteocytes,Focal Radiation,Mouse,SASP/Inflammation,32023352,rt-qPCR
Cxcl15,"Cxcl15 C-X-C motif chemokine 15, no homolog in humans",,mRNA,Skeleton,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
CXCL16,C-X-C motif chemokine ligand 16,HGNC:16642,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
CXCL3,C-X-C motif chemokine ligand 3,HGNC:4604,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
CXCL9,C-X-C motif chemokine ligand 9,HGNC:7098,mRNA,Skeleton,Osteocytes,Focal Radiation,Mouse,SASP/Inflammation,32023352,rt-qPCR
CXCR2,C-X-C motif chemokine receptor 2,HGNC:6027,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
DKK1,dickkopf WNT signaling pathway inhibitor 1,HGNC:2891,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
EDN1,endothelin 1,HGNC:3176,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
EGF,epidermal growth factor,HGNC:3229,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
EGFR,epidermal growth factor receptor,HGNC:3236,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
EREG,epiregulin,HGNC:3443,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ESM1,endothelial cell specific molecule 1,HGNC:3466,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ETS2,"ETS proto-oncogene 2, transcription factor",HGNC:3489,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
FAS,Fas cell surface death receptor,HGNC:11920,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
FAS,Fas cell surface death receptor,HGNC:11920,mRNA,Skeleton,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
FASLG,Fas ligand,HGNC:11936,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,27341653,rt-qPCR
FGF1,fibroblast growth factor 1,HGNC:3665,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
FGF2,fibroblast growth factor 2,HGNC:3676,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
FGF7,fibroblast growth factor 7,HGNC:3685,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
FOXO4,forkhead box O4,HGNC:7139,mRNA,Skeleton,Callus cells,Fracture,Mouse,SASP/Inflammation,34617510,rt-qPCR
GATA4,GATA binding protein 4,HGNC:4173,Protein,Skeleton,"Osteoprogenitors (Osx+), Osteocytes",Aging,Mouse,SASP/Inflammation,"28401730, 28878136","WB, WB"
GDF15,growth differentiation factor 15,HGNC:30142,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
GEM,GTP binding protein overexpressed in skeletal muscle,HGNC:4234,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
GMFG,glia maturation factor gamma,HGNC:4374,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
H2AX,H2A.X variant histone,HGNC:4739,Protein,Skeleton,Osteocytes,Aging,Mouse,DDR,"28878136, 28401730","WB, IF"
HGF,hepatocyte growth factor,HGNC:4893,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
HMGB1,high mobility group box 1,HGNC:4983,mRNA,Skeleton,"N/A, Osteocytes",Aging,"Human, Mouse",Nuclear changes,"27341653, 35974106","rt-qPCR, Bulk RNA-seq, scRNA-seq"
ICAM1,intercellular adhesion molecule 1,HGNC:5344,mRNA,Skeleton,"N/A, Osteocytes",Aging,"Human, Mouse",SASP/Inflammation,"27341653, 35974106","rt-qPCR, Bulk RNA-seq, scRNA-seq"
ICAM3,intercellular adhesion molecule 3,HGNC:5346,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ICAM5,intercellular adhesion molecule 5,HGNC:5348,mRNA,Skeleton,,Aging,Mouse,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IFNG,interferon gamma,HGNC:5438,mRNA,Skeleton,Osteocytes,Type 2 Diabetes,Mouse,SASP/Inflammation,32267250,rt-qPCR
IGF1,insulin like growth factor 1,HGNC:5464,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IGFBP1,insulin like growth factor binding protein 1,HGNC:5469,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IGFBP2,insulin like growth factor binding protein 2,HGNC:5471,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,mRNA,Skeleton,"N/A, Osteocytes, Callus cells","Aging, Fracture","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 34617510","Bulk RNA-seq, scRNA-seq, rt-qPCR"
IGFBP4,insulin like growth factor binding protein 4,HGNC:5473,mRNA,Skeleton,"N/A, Osteocytes, Callus cells","Aging, Fracture, Focal Radiation","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 34617510, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
IGFBP5,insulin like growth factor binding protein 5,HGNC:5474,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IGFBP6,insulin like growth factor binding protein 6,HGNC:5475,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IGFBP7,insulin like growth factor binding protein 7,HGNC:5476,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IL10,interleukin 10,HGNC:5962,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
IL13,interleukin 13,HGNC:5973,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IL15,interleukin 15,HGNC:5977,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IL17A,interleukin 17A,HGNC:5981,mRNA,Skeleton,"Osteocytes, Callus cells","Aging, Fracture",Mouse,SASP/Inflammation,"27341653, 34617510",rt-qPCR
IL18,interleukin 18,HGNC:5986,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
IL1A,interleukin 1 alpha,HGNC:5991,mRNA,Skeleton,"N/A, Osteocytes, Osteoprogenitors (Osx+)",Aging,"Human, Mouse",SASP/Inflammation,"27341653, 28401730, 35974106","rt-qPCR, Bulk RNA-seq, scRNA-seq, CyTOF"
IL1B,interleukin 1 beta,HGNC:5992,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq, CyTOF"
IL2,interleukin 2,HGNC:6001,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IL32,interleukin 32,HGNC:16830,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IL6,interleukin 6,HGNC:6018,mRNA,Skeleton,"N/A, Osteocytes, Callus cells","Aging, Fracture","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 34617510","Bulk RNA-seq, scRNA-seq, rt-qPCR, CyTOF"
IL6ST,interleukin 6 cytokine family signal transducer,HGNC:6021,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IL7,interleukin 7,HGNC:6023,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
INHA,inhibin subunit alpha,HGNC:6065,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
INHBA,inhibin subunit beta A,HGNC:6066,mRNA,Skeleton,Osteocytes,Type 2 Diabetes,Mouse,SASP/Inflammation,32267250,rt-qPCR
IQGAP2,IQ motif containing GTPase activating protein 2,HGNC:6111,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
IRF1,interferon regulatory factor 1,HGNC:6116,mRNA,Skeleton,"N/A, Osteocytes",Aging,"Human, Mouse",SASP/Inflammation,27341653,rt-qPCR
ITGA2,integrin subunit alpha 2,HGNC:6137,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
ITPKA,inositol-trisphosphate 3-kinase A,HGNC:6178,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",HGNC:6204,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
KITLG,KIT ligand,HGNC:6343,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
LCP1,lymphocyte cytosolic protein 1,HGNC:6528,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
MIF,macrophage migration inhibitory factor,HGNC:7097,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
MMP1,matrix metallopeptidase 1,HGNC:7155,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
MMP10,matrix metallopeptidase 10,HGNC:7156,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
MMP12,matrix metallopeptidase 12,HGNC:7158,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation, Type 2 Diabetes","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 32023351, 32267250","Bulk RNA-seq, scRNA-seq, rt-qPCR"
MMP13,matrix metallopeptidase 13,HGNC:7159,mRNA,Skeleton,"N/A, Osteocytes, Callus cells","Aging, Fracture, Type 2 Diabetes","Human, Mouse",SASP/Inflammation,"27341653, 28878136, 28401730, 35974106, 34617510, 32267250","Bulk RNA-seq, scRNA-seq, rt-qPCR"
MMP14,matrix metallopeptidase 14,HGNC:7160,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
MMP2,matrix metallopeptidase 2,HGNC:7166,mRNA,Skeleton,"N/A, Osteocytes","Aging, Focal Radiation","Human, Mouse",SASP/Inflammation,"35974106, 32023351","Bulk RNA-seq, scRNA-seq, rt-qPCR"
MMP3,matrix metallopeptidase 3,HGNC:7173,mRNA,Skeleton,"N/A, Osteocytes","Aging, Type 2 Diabetes","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 32267250","Bulk RNA-seq, scRNA-seq, rt-qPCR"
MMP9,matrix metallopeptidase 9,HGNC:7176,mRNA,Skeleton,"N/A, Osteocytes, Callus cells","Aging, Fracture, Type 2 Diabetes","Human, Mouse",SASP/Inflammation,"27341653, 35974106, 34617510, 32267250","Bulk RNA-seq, scRNA-seq, rt-qPCR"
NAP1L4,nucleosome assembly protein 1 like 4,HGNC:7640,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
NFKB1,nuclear factor kappa B subunit 1,HGNC:7794,mRNA,Skeleton,"Osteocytes, Callus cells","Aging, Fracture, Type 2 Diabetes",Mouse,SASP/Inflammation,"27341653, 34617510, 32267250","rt-qPCR, rt-qPCR"
NFKBIA,NFKB inhibitor alpha,HGNC:7797,Protein,Skeleton,Osteoprogenitors (Osx+),Aging,Mouse,SASP/Inflammation,28401730,WB
NRG1,neuregulin 1,HGNC:7997,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PAPPA,pappalysin 1,HGNC:8602,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,"27341653, 35974106","rt-qPCR, Bulk RNA-seq, scRNA-seq"
PDGFA,platelet derived growth factor subunit A,HGNC:8799,mRNA,Skeleton,Callus cells,Fracture,Mouse,SASP/Inflammation,34617510,rt-qPCR
PECAM1,platelet and endothelial cell adhesion molecule 1,HGNC:8823,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PGF,placental growth factor,HGNC:8893,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PIGF,phosphatidylinositol glycan anchor biosynthesis class F,HGNC:8962,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PLAT,"plasminogen activator, tissue type",HGNC:9051,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PLAU,"plasminogen activator, urokinase",HGNC:9052,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PLAUR,"plasminogen activator, urokinase receptor",HGNC:9053,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PTBP1,polypyrimidine tract binding protein 1,HGNC:9583,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PTGER2,prostaglandin E receptor 2,HGNC:9594,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
PTGES,prostaglandin E synthase,HGNC:9599,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
RELA,"RELA proto-oncogene, NF-kB subunit",HGNC:9955,Protein,Skeleton,Osteoprogenitors (Osx+),Aging,Mouse,SASP/Inflammation,28401730,"CyTOF, WB"
RPS6KA5,ribosomal protein S6 kinase A5,HGNC:10434,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SCAMP4,secretory carrier membrane protein 4,HGNC:30385,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SELPLG,selectin P ligand,HGNC:10722,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SEMA3F,semaphorin 3F,HGNC:10728,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SERPINB2,serpin family B member 2,HGNC:8584,mRNA,Skeleton,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
SERPINB4,serpin family B member 4,HGNC:10570,mRNA,Skeleton,,Aging,Mouse,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SERPINB4,serpin family B member 4,HGNC:10570,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SERPINE1,serpin family E member 1,HGNC:8583,mRNA,Skeleton,"N/A, Callus cells","Aging, Fracture","Human, Mouse",SASP/Inflammation,"35974106, 34617510","Bulk RNA-seq, scRNA-seq, rt-qPCR, CyTOF"
SERPINE2,serpin family E member 2,HGNC:8951,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SPP1,secreted phosphoprotein 1,HGNC:11255,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
SPX,spexin hormone,HGNC:28139,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
TGFB1,transforming growth factor beta 1,HGNC:11766,"mRNA, Protein",Skeleton,Callus cells,Fracture,Mouse,SASP/Inflammation,"34617510, 35426372","rt-qPCR, WB, Flow Cytometry"
TGFB2,transforming growth factor beta 2,HGNC:11768,mRNA,Skeleton,Callus cells,Fracture,Mouse,SASP/Inflammation,34617510,rt-qPCR
TGFBR1,transforming growth factor beta receptor 1,HGNC:11772,mRNA,Skeleton,Callus cells,Fracture,Mouse,SASP/Inflammation,34617510,rt-qPCR
TIMP2,TIMP metallopeptidase inhibitor 2,HGNC:11821,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
TNF,tumor necrosis factor,HGNC:11892,mRNA,Skeleton,"N/A, Osteoprogenitors (Osx+)",Aging,"Human, Mouse",SASP/Inflammation,"27341653, 35974106, 28401730","Bulk RNA-seq, scRNA-seq, rt-qPCR, CyTOF"
TNFRSF10C,TNF receptor superfamily member 10c,HGNC:11906,mRNA,Skeleton,,Aging,Human,SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
TNFRSF11B,TNF receptor superfamily member 11b,HGNC:11909,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
TNFRSF1A,TNF receptor superfamily member 1A,HGNC:11916,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
TNFRSF1B,TNF receptor superfamily member 1B,HGNC:11917,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
TP53,tumor protein p53,HGNC:11998,Protein,Skeleton,Osteoprogenitors (Osx+),Aging,Mouse,Cell cycle arrest,28401730,IF
TP53,tumor protein p53,HGNC:11998,mRNA,Skeleton,"Osteocytes, Callus cells","Aging, Fracture",Mouse,Cell cycle arrest,"27341653, 34617510",rt-qPCR
TUBGCP2,tubulin gamma complex associated protein 2,HGNC:18599,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
VCAM1,vascular cell adhesion molecule 1,HGNC:12663,mRNA,Skeleton,Osteocytes,Aging,Mouse,SASP/Inflammation,27341653,rt-qPCR
VEGFA,vascular endothelial growth factor A,HGNC:12680,mRNA,Skeleton,"N/A, Callus cells","Aging, Fracture","Human, Mouse",SASP/Inflammation,"35974106, 34617510","Bulk RNA-seq, scRNA-seq, rt-qPCR"
VEGFC,vascular endothelial growth factor C,HGNC:12682,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
VGF,VGF nerve growth factor inducible,HGNC:12684,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
WNT16,Wnt family member 16,HGNC:16267,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
WNT2,Wnt family member 2,HGNC:12780,mRNA,Skeleton,,Aging,"Human, Mouse",SASP/Inflammation,35974106,"Bulk RNA-seq, scRNA-seq"
BRAFV600E,"B-Raf proto-oncogene, serine/threonine kinase",HGNC:1097,mRNA,Skin,melanocytes,oncogene induced senescence,Human,DDR,"16079850, 12447372, 26924424","Duplex PCR, rt-qPCR, Sanger Sequencing"
CDKN1A,cyclin dependent kinase inhibitor 1A,HGNC:1784,Protein,Skin,keratinocytes,Aging,Human,Cell cycle arrest,31633821,IF
CDKN2A,cyclin dependent kinase inhibitor 2A,HGNC:1787,Protein,Skin,"melanocytes, keratinocytes, fibroblasts","Aging, cancer/tumor","Human, Mouse",Cell cycle arrest,"31633821, 16079850, 32641409",IF
CXCL10,C-X-C motif chemokine ligand 10,HGNC:10637,Protein,Skin,keratinocytes,cancer,Mouse,SASP/Inflammation,32641409,rt-qPCR
CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,Protein,Skin,melanocytes,photodamage - UVA+UVB,Human,SASP/Inflammation,30030153,"ELISA, rt-qPCR"
CXCR3,C-X-C motif chemokine receptor 3,HGNC:4540,Protein,Skin,melanocytes,"Aging, photodamage",Human,SASP/Inflammation,31633821,"IF, chemical inhibition, genetic knockdown"
H2AJ,H2A.J histone,HGNC:14456,Protein,Skin,epidermis,"OIS, photodamage","Human, Mouse",Nuclear changes,"28489069, 33795696","IHC, IF, Mass Spectrometry"
H2AX,H2A.X variant histone,HGNC:4739,,Skin,"epdidermis, melanoyctes",Aging,Human,DDR,"28489069, 31633821",IF
HMGB1,high mobility group box 1,HGNC:4983,Protein,Skin,"melanocytes, keratinocytes","Aging, photodamage - UVA+UVB",Human,Nuclear changes,"31633821, 30030153","WB, ELISA, IF"
IL1A,interleukin 1 alpha,HGNC:5991,Protein,Skin,dermal fibroblasts,senescence,Human,SASP/Inflammation,19053174,"Antibody Arrays, ELISA"
IL1B,interleukin 1 beta,HGNC:5992,Protein,Skin,dermal fibroblasts,senescence,"Human, Mouse",SASP/Inflammation,"19053174, 36798808","Antibody Arrays, ELISA"
IL6,interleukin 6,HGNC:6018,Protein,Skin,"melanoyctes, fibroblasts",senescence,"Human, Mouse",SASP/Inflammation,"19053174, 30030153, 36798808, 32916932","Antibody Arrays, ELISA, rt-qPCR"
KITLG,KIT ligand,HGNC:6343,Protein,Skin,melanocytes,photodamage - UVA+UVB,Human,SASP/Inflammation,30030153,
Lipofuscin,Lipofuscin,,Protein,Skin,dermis and epidermis,Aging,Human,Increased lysosomal content,33795696,Histochemistry
LMNB1,lamin B1,HGNC:6637,Protein,Skin,epidermis,photodamage - UVB,"Human, Mouse",Nuclear changes,"29142250, 32641409","IF, rt-qPCR, WB"
MKI67,marker of proliferation Ki-67,HGNC:7107,Protein,Skin,epidermis,Aging,Human,Cell cycle arrest,33795696,IF
MMP1,matrix metallopeptidase 1,HGNC:7155,Protein,Skin,dermal fibroblasts,senescence,Human,SASP/Inflammation,19053174,"Antibody Arrays, ELISA"
MMP2,matrix metallopeptidase 2,HGNC:7166,Protein,Skin,,photodamage,Mouse,SASP/Inflammation,32916932,rt-qPCR
MMP3,matrix metallopeptidase 3,HGNC:7173,Protein,Skin,"keratinocytes, fibroblasts",senescence/photodamage,"Human, Mouse",SASP/Inflammation,"19053174, 32641409, 36798808","Antibody Arrays, ELISA, rt-qPCR, IHC"
MMP9,matrix metallopeptidase 9,HGNC:7176,Protein,Skin,"keratinocytes, fibroblasts",senescence/photodamage,"Human, Mouse",SASP/Inflammation,"19053174, 32641409, 32916932","Antibody Arrays, ELISA, rt-qPCR"
mtDNA4977 del,mitochondrial DNA (mtDNA) 4977 base-pair large-scale deletion,,,Skin,,photodamage,Human,DDR,15140232,"Nested PCR, rt-qPCR (UV photodamage)"
PML nuclear bodies,promyelocytic leukemia protein nuclear bodies,,Protein,Skin,fibroblasts,Aging,Human,DDR,"19053174, 25815425",IF
RARRES2,retinoic acid receptor responder 2,HGNC:9868,Protein,Skin,dermal fibroblasts,senescence,Human,SASP/Inflammation,27907906,"rt-qPCR, ELISA, IF"
SA-β-Gal,senescence associated beta galactosidase,,Protein,Skin,"fibroblast, keratinocytes, melanocytes","Aging, cancer/tumor",Human,Increased lysosomal content,"7568133, 33795696, 23332765, 32641409",X-gal precipitation
TAF,Telomere-Associated Foci,,,Skin,melanocytes,Aging,Human,DDR,31633821,IF-FISH
Telomere length,Telomere length,,,Skin,epidermis,Aging,Human,DDR,33795696,FISH
